date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:27	72958/72958	---M-Z	200	added ('OK')	text/html	etag:%2211cfe-623efa90fab5b-gzip%22	https://proficient-bimsolutions.com/preview/index.html	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/index.html	(from )
15:52:33	204/204	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:22:34%20GMT	https://proficient-bimsolutions.com/robots.txt		(from )
15:52:33	509/509	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:22:35%20GMT	https://proficient-bimsolutions.com/preview/images/favicon.png	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/images/favicon.png	(from https://proficient-bimsolutions.com/preview/index.html)
15:52:35	57130/57130	---M--	200	added ('OK')	text/css	etag:%22df2a-5a1a4b13fa500%22	https://proficient-bimsolutions.com/preview/css/font-awesome.min.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/font-awesome.min.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:52:35	3669/3669	---M--	200	added ('OK')	text/css	etag:%22e55-5a6b05d389f00%22	https://proficient-bimsolutions.com/preview/css/flaticon.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/flaticon.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:52:35	160940/160940	---M--	200	added ('OK')	text/css	etag:%22274ac-5b122274e4a80%22	https://proficient-bimsolutions.com/preview/css/bootstrap.min.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/bootstrap.min.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:52:35	2930/2930	---M--	200	added ('OK')	text/css	etag:%22b72-598648a0fdc00%22	https://proficient-bimsolutions.com/preview/css/owl.carousel.min.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/owl.carousel.min.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:52:35	935/935	---M--	200	added ('OK')	text/css	etag:%223a7-5a5ed8793dd00%22	https://proficient-bimsolutions.com/preview/css/owl.theme.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/owl.theme.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:52:36	6367/6367	---M--	200	added ('OK')	text/css	etag:%2218df-588577bcb3300%22	https://proficient-bimsolutions.com/preview/css/magnific-popup.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/magnific-popup.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:52:36	24828/24828	---M--	200	added ('OK')	text/css	etag:%2260fc-5a5e6d27cab00%22	https://proficient-bimsolutions.com/preview/css/lightgallery.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/lightgallery.css	(from https://proficient-bimsolutions.com/preview/index.html)
